185431.20,5104.7341785,N,11407.8514192,W,1,25,0.7,1124.225,M,-16.60,M,,*53
185431.30,5104.7343816,N,11407.8507261,W,1,24,0.7,1125.038,M,-16.60,M,,*56
185431.40,5104.7341687,N,11407.8510294,W,1,25,0.7,1124.330,M,-16.60,M,,*52
185431.50,5104.7347051,N,11407.8519278,W,1,24,0.7,1122.730,M,-16.60,M,,*50
185431.60,5104.7332870,N,11407.8513750,W,1,25,0.7,1121.226,M,-16.60,M,,*5F
185431.70,5104.7345447,N,11407.8513277,W,1,25,0.7,1123.522,M,-16.60,M,,*57
185431.80,5104.7345799,N,11407.8512398,W,1,25,0.7,1123.611,M,-16.60,M,,*5A
185431.90,5104.7346160,N,11407.8511713,W,1,25,0.7,1123.471,M,-16.60,M,,*58
185432.00,5104.7345838,N,11407.8510224,W,1,26,0.6,1123.500,M,-16.60,M,,*50
185432.10,5104.7334158,N,11407.8514560,W,1,26,0.6,1119.907,M,-16.60,M,,*59
185432.20,5104.7348937,N,11407.8514056,W,1,27,0.6,1122.608,M,-16.60,M,,*59
185432.30,5104.7349186,N,11407.8513975,W,1,27,0.6,1122.637,M,-16.60,M,,*58
185432.40,5104.7335981,N,11407.8516809,W,1,28,0.5,1118.828,M,-16.60,M,,*51
185432.50,5104.7349959,N,11407.8501130,W,1,25,0.6,1124.325,M,-16.60,M,,*5C
185432.60,5104.7350021,N,11407.8508139,W,1,27,0.6,1123.377,M,-16.60,M,,*53
185432.70,5104.7350008,N,11407.8507502,W,1,26,0.6,1123.390,M,-16.60,M,,*52
185432.80,5104.7350419,N,11407.8507667,W,1,26,0.6,1123.320,M,-16.60,M,,*52
185432.90,5104.7351475,N,11407.8501941,W,1,25,0.6,1124.493,M,-16.60,M,,*5E
185433.00,5104.7351742,N,11407.8501678,W,1,26,0.6,1124.372,M,-16.60,M,,*5F
185433.10,5104.7338607,N,11407.8474381,W,1,26,0.6,1126.901,M,-16.60,M,,*5D
185433.20,5104.7338975,N,11407.8510898,W,1,24,0.6,1119.435,M,-16.60,M,,*50
185433.30,5104.7345543,N,11407.8482917,W,1,26,0.6,1127.655,M,-16.60,M,,*55
185433.40,5104.7346851,N,11407.8486219,W,1,27,0.6,1127.210,M,-16.60,M,,*5A
185433.50,5104.7353450,N,11407.8500667,W,1,27,0.6,1124.299,M,-16.60,M,,*52
