51.07922849012,-114.13103368738,1101.7899
51.07946445418,-114.13146131349,1114.2236
51.07945107524,-114.13150189028,1114.9848
51.07942525421,-114.13157915165,1115.1097
51.07939409464,-114.13165831359,1115.191
51.07935902439,-114.13174012216,1115.1305
51.07931554655,-114.13181755924,1117.1138
51.07922515518,-114.13183876308,1119.0551
51.07921833082,-114.13188662959,1114.3256
51.07916364479,-114.13189194739,1113.5965
51.07911044257,-114.13186361919,1113.3799
51.07905384559,-114.13181841472,1113.8681
51.07900337966,-114.13176504251,1113.3889
51.07895548961,-114.13171147754,1113.3291
51.07890706725,-114.13166002411,1113.928
51.07886029916,-114.13160465247,1113.6792
51.0788167335,-114.13154245275,1113.9314
51.07879212753,-114.1314817941,1113.7116
51.07880572281,-114.13141208571,1119.603
51.07880547131,-114.13135465481,1124.1558
51.07876730125,-114.13123418797,1113.7031
51.07878329243,-114.13115262984,1116.669
51.07880845265,-114.13107119181,1113.9297
51.07882969935,-114.13099165408,1114.3311
51.07885563994,-114.13092123207,1112.3903
51.07888019589,-114.13083228981,1114.943
51.07889372822,-114.13075774878,1113.5119
51.07895707983,-114.13072225581,1118.2599
51.07901297389,-114.13070050986,1119.0542
51.07904682625,-114.13063504109,1115.839
51.07909296707,-114.13059296224,1115.081
51.07913923218,-114.13053509707,1114.9866
51.07918373546,-114.13046700545,1113.9947
51.07923768245,-114.13047002777,1114.2199
51.07927836566,-114.13053768245,1113.4723
51.07931169471,-114.13061348544,1112.8274
51.07934105177,-114.130710098,1114.6359
51.07932004832,-114.13079833544,1114.4728
51.07929095475,-114.13087418162,1113.8984
51.07922849012,-114.13103368738,1101.7899
